"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6";"C_0805_2012Metric";1;"C_0805_1uf";;;
2;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
3;"R6,R7";"R_0805_2012Metric";2;"R_0805_4.7K";;;
4;"RV1";"Potentiometer_Bourns_3386P_Vertical";1;"R_POT_10K";;;
5;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
6;"TP9,TP7,TP5,TP14,TP10,TP4,TP1,TP6,TP2,TP3,TP13,TP11,TP8,TP12";"TestPoint_THTPad_D2.0mm_Drill1.0mm";14;"TestPoint";;;
7;"R17,R16,R4,R3";"R_0805_2012Metric";4;"R_0805_47";;;
8;"U3";"TO-252-2";1;"L7805";;;
9;"R14,R11";"R_0805_2012Metric";2;"R_0805_2.2K";;;
10;"U5,U4";"Sx56-1xxxxx";2;"SC56-11EWA";;;
11;"R5,R1,R8,R9,R2";"R_0805_2012Metric";5;"R_0805_10K";;;
12;"C2,C10,C8,C7,C11,C13,C3,C1";"C_0805_2012Metric";8;"C_0805_0.1uf";;;
13;"R10";"R_0805_2012Metric";1;"R_0805_100K";;;
14;"U2";"DIP-24_W7.62mm";1;"MAX7219";;;
15;"Q1";"SOT-23";1;"NPN_2N3904_SOT23";;;
16;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
17;"R13,R15,R12";"R_0805_2012Metric";3;"R_0805_1K";;;
18;"SW6,SW2,SW1,SW3,SW4,SW5";"SW_SPST_Omron_B3FS-100xP";6;"Omron_B3F_SPST";;;
19;"U1";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
20;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
21;"BZ1";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
22;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
23;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
24;"C4,C5";"C_0805_2012Metric";2;"C_0805_22pf";;;
25;"UI1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
26;"C9";"C_0805_2012Metric";1;"C_0805_10uf";;;
27;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
28;"DS1";"TC1602A-01T";1;"TC1602A-01T";;;
29;"J2";"Wurth-694106402002";1;"Power_inlet_vertical";;;
