Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-0.600000,1.708661,-90.000000,bottom
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-5.250000,1.358661,180.000000,bottom
"J2","PJ-102AH","PJ-102AH",-4.455000,0.348661,-90.000000,bottom
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",-5.325000,1.958661,180.000000,bottom
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",4.800000,3.168661,180.000000,top
"C1","C_0805_0.1uf","C_0805_2012Metric",4.575000,2.400197,180.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",5.150000,2.108661,0.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",4.600000,0.858661,0.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",4.500000,2.008661,180.000000,top
"C5","C_0805_22pf","C_0805_2012Metric",4.000000,2.167126,-90.000000,top
"C6","C_0805_1uf","C_0805_2012Metric",4.820000,0.708661,0.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",4.795000,0.183661,0.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",0.725000,2.958661,0.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",0.725000,3.108661,0.000000,top
"C10","C_0805_0.1uf","C_0805_2012Metric",1.521929,0.438661,180.000000,top
"C11","C_0805_0.1uf","C_0805_2012Metric",3.353465,0.467697,180.000000,top
"C13","C_0805_0.1uf","C_0805_2012Metric",2.450000,0.438661,180.000000,top
"D1","LED_0805","LED_0805_2012Metric",5.330000,2.361752,-90.000000,top
"DS1","TC1602A-01T","TC1602A-01T",1.550000,1.908661,0.000000,top
"Q1","NPN_2N3904_SOT23","SOT-23",4.325591,3.252165,0.000000,top
"R1","R_0805_10K","R_0805_2012Metric",2.138465,0.263661,90.000000,top
"R2","R_0805_10K","R_0805_2012Metric",3.970000,0.288661,90.000000,top
"R3","R_0805_47","R_0805_2012Metric",5.075000,1.108661,0.000000,top
"R4","R_0805_47","R_0805_2012Metric",5.075000,0.958661,0.000000,top
"R5","R_0805_10K","R_0805_2012Metric",4.450000,1.125197,90.000000,top
"R6","R_0805_4.7K","R_0805_2012Metric",0.550000,3.058661,180.000000,top
"R7","R_0805_4.7K","R_0805_2012Metric",0.391535,3.058661,180.000000,top
"R8","R_0805_10K","R_0805_2012Metric",1.200000,0.272126,90.000000,top
"R9","R_0805_10K","R_0805_2012Metric",3.080000,0.315197,90.000000,top
"R10","R_0805_100K","R_0805_2012Metric",0.725000,2.783661,0.000000,top
"R11","R_0805_2.2K","R_0805_2012Metric",5.333465,2.183661,0.000000,top
"R12","R_0805_1K","R_0805_2012Metric",1.513465,0.238661,0.000000,top
"R13","R_0805_1K","R_0805_2012Metric",3.320000,0.276161,-90.000000,top
"R14","R_0805_1K","R_0805_2012Metric",4.175000,3.233661,90.000000,top
"R15","R_0805_1K","R_0805_2012Metric",2.441535,0.238661,0.000000,top
"R16","R_0805_47","R_0805_2012Metric",3.225000,2.079035,0.000000,top
"R17","R_0805_47","R_0805_2012Metric",2.875000,2.083661,180.000000,top
"R18","R_0805_1K","R_0805_2012Metric",4.400000,2.908661,0.000000,top
"RV1","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",2.584843,2.229035,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.670000,0.338661,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.830000,0.338661,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",0.900000,0.338661,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.750000,0.338661,0.000000,top
"SW5","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.725000,1.183661,0.000000,top
"SW6","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.034843,2.354035,90.000000,top
"U1","DS1307_DIP-8","DIP-8_W7.62mm",0.200394,2.608661,90.000000,top
"U2","MAX7219","DIP-24_W7.62mm",1.200000,2.183661,180.000000,top
"U3","L7805","TO-252-2",4.870000,0.433661,0.000000,top
"U4","SC56-11EWA","Sx56-1xxxxx",3.355000,2.613661,0.000000,top
"U5","SC56-11EWA","Sx56-1xxxxx",1.855000,2.613661,0.000000,top
"UI1","ATmega328-PU","DIP-28_W7.62mm",4.725394,2.808268,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",4.325000,2.183661,0.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",0.240000,2.438661,0.000000,top
